mmsi,imo
563928044,9812353
564018000,9523782
564707878,9150315
564709000,9695119
564854976,9536674
565188584,9538464
565867000,9511624
566064960,9501473
566214828,9836799
566338000,9526942
569767304,9422859
572625210,9123661
574001930,9146572
636011255,9194969
636013332,9247376
636015104,9507738
636015337,9455820
636018276,9770763
636018572,9463059
636018679,9315367
636019065,9304461
636019262,9237539
636092895,9718947
636092896,9683867
764497269,9520857
5182478,9568304
209294000,9334571
209919000,9453391
210014000,9278430
219018864,9619945
229200000,9649110
232006651,9719240
235101303,9320752
239697000,9000986
240221000,9271353
249975000,9218284
250772424,9754812
253035000,9303338
255805944,9293818
257401000,9168635
259433492,9528940
259933000,9328522
304200000,9362633
305642000,9569530
319389128,9721401
352614000,9611565
353873000,9282261
353890000,9250622
353983000,9473511
356070000,9237254
370642000,9405887
370764000,9374911
370914000,9349784
371582000,9467419
371769000,9546083
372245000,9220471
372736000,9336048
373085000,9520601
373256000,9593335
373522000,9539341
374034000,9748461
374547000,9709324
374628000,9683130
413176000,9416628
416031000,9786944
419000000,8802818
419000303,9603893
419001426,9251028
440501000,9166857
440817000,9346079
441498000,9038816
441995000,9203590
477020200,9290103
477133600,9172260
477191424,9727340
477194100,9783473
477211800,9627033
477790700,9502609
477791100,9369136
522534960,9066423
525003540,9219264
525500759,9354181
533130748,9817341
538003436,9515436
538005019,9618630
538006220,9710543
538006371,9323077
538007484,9330721
538007747,9815458
538007972,9474230
538090232,9253909
538760664,9169691
541212176,9402811
548902000,9296743
548921000,9726748
553000125,9682992
556321560,9177557
559325696,9739903
562155240,9299135
562796800,9299678
562973696,9205562
563010320,9434242
563015480,9002609
563034400,9460629
563037892,9824863
563040192,9763502
563040555,9724702
563040579,1197941
563059200,9784324
563068457,9724697
563068800,9835848
563072400,9806914
563092900,9858759
563167955,9153513
563172833,9002623
563218232,9430167
564485810,9774587
564709627,9319155
564758976,9181742
565015000,9576753
565217984,9741413
565242952,9421427
565357952,9473028
565682944,9610901
565944000,9351036
566019004,9863900
566105312,9501461
566120000,9628623
566294000,9125877
566399000,9569255
566515000,9658264
566884556,9427471
566946000,9655779
567062185,9262948
567194305,9774056
567215504,9812365
634365788,9808948
634657168,9329136
636013409,9374416
636015880,9579559
636018400,9256901
636018741,9177973
636018968,9844590
636019071,9829095
665819280,9312781
761353288,9635432
859174264,9544607
892783328,9504712
935156680,9168855
965654454,8898879
7709568,9707340
209526000,9243526
213231464,9568744
219646000,9632179
226327000,9280639
235094793,9447562
235118625,9447536
239746000,9212242
240719000,9423762
240989000,9494113
241077000,9455533
246864000,9613795
248139000,9771652
249339000,9363041
253588000,9781281
255805563,9654464
255806039,9466972
257856000,9592680
